gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1598.pgm -> small_1598.pgm
OK   small_769.pgm -> small_769.pgm
OK   small_1549.pgm -> small_1549.pgm
OK   small_1128.pgm -> small_1128.pgm
OK   small_072.pgm -> small_072.pgm
OK   small_1956.pgm -> small_1956.pgm
OK   small_1524.pgm -> small_1524.pgm
OK   small_1283.pgm -> small_1283.pgm
OK   small_413.pgm -> small_413.pgm
OK   small_861.pgm -> small_861.pgm
OK   small_1145.pgm -> small_1145.pgm
OK   small_1194.pgm -> small_1194.pgm
OK   small_1633.pgm -> small_1633.pgm
OK   small_365.pgm -> small_365.pgm
OK   small_1987.pgm -> small_1987.pgm
OK   small_1252.pgm -> small_1252.pgm
OK   small_704.pgm -> small_704.pgm
OK   small_939.pgm -> small_939.pgm
OK   small_1558.pgm -> small_1558.pgm
OK   small_1139.pgm -> small_1139.pgm
OK   small_319.pgm -> small_319.pgm
OK   small_778.pgm -> small_778.pgm
OK   small_1589.pgm -> small_1589.pgm
OK   small_1717.pgm -> small_1717.pgm
OK   small_994.pgm -> small_994.pgm
OK   small_241.pgm -> small_241.pgm
OK   small_1376.pgm -> small_1376.pgm
OK   small_187.pgm -> small_187.pgm
OK   small_620.pgm -> small_620.pgm
OK   small_156.pgm -> small_156.pgm
OK   small_1400.pgm -> small_1400.pgm
OK   small_1872.pgm -> small_1872.pgm
OK   small_945.pgm -> small_945.pgm
OK   small_537.pgm -> small_537.pgm
OK   small_290.pgm -> small_290.pgm
OK   small_1061.pgm -> small_1061.pgm
OK   small_009.pgm -> small_009.pgm
OK   small_1699.pgm -> small_1699.pgm
OK   small_468.pgm -> small_468.pgm
OK   small_1648.pgm -> small_1648.pgm
OK   small_1229.pgm -> small_1229.pgm
OK   small_1710.pgm -> small_1710.pgm
OK   small_246.pgm -> small_246.pgm
OK   small_993.pgm -> small_993.pgm
OK   small_1371.pgm -> small_1371.pgm
OK   small_627.pgm -> small_627.pgm
OK   small_180.pgm -> small_180.pgm
OK   small_151.pgm -> small_151.pgm
OK   small_1875.pgm -> small_1875.pgm
OK   small_1407.pgm -> small_1407.pgm
OK   small_297.pgm -> small_297.pgm
OK   small_530.pgm -> small_530.pgm
OK   small_942.pgm -> small_942.pgm
OK   small_1066.pgm -> small_1066.pgm
OK   small_075.pgm -> small_075.pgm
OK   small_1284.pgm -> small_1284.pgm
OK   small_1523.pgm -> small_1523.pgm
OK   small_1951.pgm -> small_1951.pgm
OK   small_866.pgm -> small_866.pgm
OK   small_414.pgm -> small_414.pgm
OK   small_1142.pgm -> small_1142.pgm
OK   small_1634.pgm -> small_1634.pgm
OK   small_1193.pgm -> small_1193.pgm
OK   small_362.pgm -> small_362.pgm
OK   small_1255.pgm -> small_1255.pgm
OK   small_1980.pgm -> small_1980.pgm
OK   small_703.pgm -> small_703.pgm
OK   small_1809.pgm -> small_1809.pgm
OK   small_007.pgm -> small_007.pgm
OK   small_1551.pgm -> small_1551.pgm
OK   small_1923.pgm -> small_1923.pgm
OK   small_814.pgm -> small_814.pgm
OK   small_466.pgm -> small_466.pgm
OK   small_1130.pgm -> small_1130.pgm
OK   small_1697.pgm -> small_1697.pgm
OK   small_1646.pgm -> small_1646.pgm
OK   small_310.pgm -> small_310.pgm
OK   small_1580.pgm -> small_1580.pgm
OK   small_1227.pgm -> small_1227.pgm
OK   small_771.pgm -> small_771.pgm
OK   small_248.pgm -> small_248.pgm
OK   small_629.pgm -> small_629.pgm
OK   small_1409.pgm -> small_1409.pgm
OK   small_1068.pgm -> small_1068.pgm
OK   small_299.pgm -> small_299.pgm
OK   small_868.pgm -> small_868.pgm
OK   small_1762.pgm -> small_1762.pgm
OK   small_593.pgm -> small_593.pgm
OK   small_234.pgm -> small_234.pgm
OK   small_1303.pgm -> small_1303.pgm
OK   small_655.pgm -> small_655.pgm
OK   small_123.pgm -> small_123.pgm
OK   small_684.pgm -> small_684.pgm
OK   small_1807.pgm -> small_1807.pgm
OK   small_1475.pgm -> small_1475.pgm
OK   small_542.pgm -> small_542.pgm
OK   small_930.pgm -> small_930.pgm
OK   small_1014.pgm -> small_1014.pgm
OK   small_1958.pgm -> small_1958.pgm
OK   small_1989.pgm -> small_1989.pgm
OK   small_1765.pgm -> small_1765.pgm
OK   small_233.pgm -> small_233.pgm
OK   small_594.pgm -> small_594.pgm
