filename,op,ms
small_119.pgm,gauss,0.01024
small_119.pgm,sobel,0.004096
small_119.pgm,histeq,0.026624
small_033.pgm,gauss,0.01024
small_033.pgm,sobel,0.00512
small_033.pgm,histeq,0.0256
small_117.pgm,gauss,0.011264
small_117.pgm,sobel,0.00512
small_117.pgm,histeq,0.0256
small_200.pgm,gauss,0.01024
small_200.pgm,sobel,0.00512
small_200.pgm,histeq,0.027648
small_099.pgm,gauss,0.01024
small_099.pgm,sobel,0.006144
small_099.pgm,histeq,0.026624
small_048.pgm,gauss,0.01024
small_048.pgm,sobel,0.00512
small_048.pgm,histeq,0.03584
small_110.pgm,gauss,0.012288
small_110.pgm,sobel,0.006144
small_110.pgm,histeq,0.03072
small_034.pgm,gauss,0.01024
small_034.pgm,sobel,0.00512
small_034.pgm,histeq,0.0256
small_125.pgm,gauss,0.01024
small_125.pgm,sobel,0.00512
small_125.pgm,histeq,0.0256
small_001.pgm,gauss,0.01024
small_001.pgm,sobel,0.00512
small_001.pgm,histeq,0.026624
small_188.pgm,gauss,0.01024
small_188.pgm,sobel,0.00512
small_188.pgm,histeq,0.0256
small_159.pgm,gauss,0.011264
small_159.pgm,sobel,0.00512
small_159.pgm,histeq,0.026624
small_006.pgm,gauss,0.010176
small_006.pgm,sobel,0.00512
small_006.pgm,histeq,0.0256
small_122.pgm,gauss,0.01024
small_122.pgm,sobel,0.00512
small_122.pgm,histeq,0.026624
small_008.pgm,gauss,0.01536
small_008.pgm,sobel,0.00512
small_008.pgm,histeq,0.0256
small_181.pgm,gauss,0.01024
small_181.pgm,sobel,0.00512
small_181.pgm,histeq,0.026624
small_150.pgm,gauss,0.01024
small_150.pgm,sobel,0.00512
small_150.pgm,histeq,0.0256
small_074.pgm,gauss,0.01024
small_074.pgm,sobel,0.00512
small_074.pgm,histeq,0.0256
small_073.pgm,gauss,0.011264
small_073.pgm,sobel,0.00512
small_073.pgm,histeq,0.0256
small_186.pgm,gauss,0.01024
small_186.pgm,sobel,0.006144
small_186.pgm,histeq,0.028672
small_157.pgm,gauss,0.01024
small_157.pgm,sobel,0.00512
small_157.pgm,histeq,0.0256
small_166.pgm,gauss,0.01024
small_166.pgm,sobel,0.00512
small_166.pgm,histeq,0.0256
small_093.pgm,gauss,0.01024
small_093.pgm,sobel,0.006144
small_093.pgm,histeq,0.026624
small_042.pgm,gauss,0.01024
small_042.pgm,sobel,0.00512
small_042.pgm,histeq,0.0256
small_094.pgm,gauss,0.020448
small_094.pgm,sobel,0.00512
small_094.pgm,histeq,0.03072
small_045.pgm,gauss,0.012288
small_045.pgm,sobel,0.00512
small_045.pgm,histeq,0.03072
small_039.pgm,gauss,0.011264
small_039.pgm,sobel,0.00512
small_039.pgm,histeq,0.026624
small_161.pgm,gauss,0.009216
small_161.pgm,sobel,0.00512
small_161.pgm,histeq,0.026624
small_113.pgm,gauss,0.01024
small_113.pgm,sobel,0.006144
small_113.pgm,histeq,0.025664
small_037.pgm,gauss,0.01024
small_037.pgm,sobel,0.00512
